Hora,Usuario,Seguidores,Tweets,Following,Goal
2025-04-24 12:41:09,@clubscristal,0,0,0,0
2025-04-24 12:41:13,@clubscristal,0000,57380,130,66726
2025-04-24 12:41:16,@clubscristal,233274,57380,130,66726
2025-04-24 12:41:18,@clubscristal,233274,57380,130,66726
2025-04-24 12:41:20,@clubscristal,233274,57380,130,66726
2025-04-24 12:41:22,@clubscristal,233274,57380,130,66726
2025-04-24 12:41:25,@clubscristal,233274,57380,130,66726
2025-04-24 12:41:27,@clubscristal,233274,57380,130,66726
2025-04-24 12:41:29,@clubscristal,233274,57380,130,66726
2025-04-24 12:41:31,@clubscristal,233274,57380,130,66726
2025-04-24 12:41:34,@clubscristal,233274,57380,130,66726
2025-04-24 12:41:36,@clubscristal,233274,57380,130,66726
2025-04-24 12:41:38,@clubscristal,233274,57380,130,66726
2025-04-24 12:41:40,@clubscristal,233274,57380,130,66726
2025-04-24 12:41:42,@clubscristal,233274,57380,130,66726
2025-04-24 12:41:44,@clubscristal,233274,57380,130,66726
2025-04-24 12:41:47,@clubscristal,233274,57380,130,66726
2025-04-24 12:41:49,@clubscristal,233274,57380,130,66726
2025-04-24 12:41:51,@clubscristal,233274,57380,130,66726
2025-04-24 12:41:53,@clubscristal,233274,57380,130,66726
2025-04-24 12:41:55,@clubscristal,233274,57380,130,66726
2025-04-24 12:41:58,@clubscristal,233274,57380,130,66726
2025-04-24 12:42:00,@clubscristal,233274,57380,130,66726
2025-04-24 12:42:02,@clubscristal,233274,57380,130,66726
2025-04-24 12:42:04,@clubscristal,233274,57380,130,66726
2025-04-24 12:42:07,@clubscristal,233274,57380,130,66726
2025-04-24 12:42:09,@clubscristal,233274,57380,130,66726
2025-04-24 12:42:11,@clubscristal,233274,57380,130,66726
2025-04-24 12:42:13,@clubscristal,233274,57380,130,66726
2025-04-24 12:42:16,@clubscristal,233274,57380,130,66726
2025-04-24 12:42:18,@clubscristal,233274,57380,130,66726
2025-04-24 12:42:21,@clubscristal,233274,57380,130,66726
2025-04-24 12:42:50,@clubscristal,0,0,0,0
2025-04-24 12:42:59,@clubscristal,0000,57380,130,66726
2025-04-24 12:43:03,@clubscristal,233274,57380,130,66726
2025-04-24 12:43:05,@clubscristal,233274,57380,130,66726
2025-04-24 12:43:07,@clubscristal,233274,57380,130,66726
